"date","daten","pack","indiv","sex","agecategory","status","stend","code","exact","lseen","cause","litter"
2016-05-27,42517,"2","TM469","M","PUP","DEP","END","ADIED","N","25/05/2016","SICK","T1602"
2015-08-27,42243,"24","24M006","M","INF","","START","BORN","N","","","241501"
2015-09-05,42252,"1B","BF660","F","SUB","PRIMIP","","FPREG","Y","","","B1504"
2014-01-12,41651,"11","DF216","F","AD","","END","ADIED","N","11/01/2014","","D1204"
2014-04-11,41740,"7A","GF100","F","AD","MULTI","","BIRTH","N","07/04/2014","","G1403"
2015-07-25,42210,"2","TF374","F","AD","MULTI","","BIRTH","Y","","","T1503"
2016-01-20,42389,"1B","BP724","P","PUP","DEP","END","ADIED","N","","APRED","B1505"
2016-05-16,42506,"1H","HP332","P","PUP","DEP","START","BORN","N","14/05/2016","","H1602"
2014-09-22,41904,"11","DF201","F","AD","MULTI","","FPREG","Y","","","D1404"
2014-06-27,41817,"1B","B1403","","","","","1STMO","Y","","UNK","B1403"
2014-04-22,41751,"17","S1402","","","","","LOST","Y","","","S1402"
2014-08-12,41863,"1B","BF644","F","PUP","DEP","END","ADIED","N","10/08/2014","APRED","B1403"
2014-08-25,41876,"1H","HF284","F","PUP","DEP","END","ADIED","N","23/08/2014","APRED","H1402"
2015-03-13,42076,"7A","GF100","F","AD","MULTI","","BIRTH","Y","","","G1501"
2015-09-30,42277,"1B","BM706","M","PUP","DEP","START","BORN","Y","","","B1504"
2014-12-16,41989,"2","TP411","P","PUP","DEP","START","BORN","Y","","","T1406"
2015-10-13,42290,"11","DM249","M","PUP","DEP","START","BORN","Y","","","D1506"
2014-11-03,41946,"1B","BP656","P","PUP","DEP","END","ADIED","N","07/10/2014","APRED","B1405"
2014-09-04,41886,"2","TF334","F","AD","MULTI","","FPREG","Y","","","T1405"
2014-09-29,41911,"1B","BP655","P","PUP","DEP","START","BORN","N","27/09/2014","","B1405"
2016-05-17,42507,"2","TP477","P","PUP","DEP","END","ADIED","N","","","T1602"
2016-03-30,42459,"1B","BP741","P","PUP","DEP","END","ADIED","N","22/03/2016","APRED","B1601"
1997-05-15,35565,"4","1H","F","","","START","FSEEN","E","","",""
2015-07-22,42207,"1B","BM704","M","","","START","BORN","Y","","","B1503"
2015-10-28,42305,"1HA","HF261","F","AD","","RESTART","IMM","Y","","","H1303"
2015-09-05,42252,"1B","BF669","F","AD","MULTI","","FPREG","Y","","","B1504"
1995-11-24,35027,"2","41","F","","","END","LSEEN","N","","",""
2015-04-24,42118,"11","","","","","","EOES","N","22/04/2015","","ESD1503"
2015-04-10,42104,"1B","BM683","M","PUP","DEP","END","ADIED","N","09/04/2015","APRED","B1501"
2016-05-16,42506,"1H","HP320","P","PUP","DEP","START","BORN","N","14/05/2016","","H1602"
2014-12-15,41988,"11","DP246","P","PUP","DEP","START","BORN","N","12/12/2014","","D1405"
1999-07-19,36360,"1B","8F","M","","","","ENDEV","Y","","",""
1999-11-30,36494,"1B","R4","F","","","","STEV","Y","","EVICTED",""
2015-08-05,42221,"17","SF024","F","AD","MULTI","","BIRTH","Y","","","S1503"
2014-10-30,41942,"7A","G1406","","","","","1STFO","Y","","","G1406"
2015-12-20,42358,"4B","FM191","M","AD","","END","ADIED","Y","","APRED","F1102"
2015-09-05,42252,"1B","BF627","F","AD","MULTI","","FPREG","Y","","","B1504"
2015-11-04,42312,"1HA","HF261","F","AD","","END","LSEEN","Y","","","H1303"
2016-02-09,42409,"1H","HF242","F","AD","MULTI","","FPREG","Y","","","H1601"
2014-10-05,41917,"2","TF319","F","AD","MULTI","","BIRTH","Y","","","T1405"
2015-01-23,42027,"19","X1404","","","","","1STFO","N","","","X1404"
2014-07-31,41851,"1B","B1404","","","","","EMERGE","Y","","","B1404"
2003-07-01,37803,"1C","Y8","M","","","STOP","EM","N","","",""
2014-09-29,41911,"1B","BM663","M","PUP","DEP","START","BORN","N","27/09/2014","","B1405"
2016-02-09,42409,"1H","HF178","F","AD","MULTI","","FPREG","Y","","","H1601"
2015-02-23,42058,"11","","","","","","SOES","Y","","","ESD1502"
2014-12-16,41989,"2","TF285","F","AD","MULTI","","BIRTH","Y","","","T1406"
1999-07-19,36360,"1B","9B","F","","","","ENDEV","Y","","",""
2015-04-11,42105,"11","DF201","F","AD","MULTI","","BIRTH","Y","","","D1502"
2015-05-30,42154,"7A","","","","","","EOES","Y","","","ESG1502"
2015-12-15,42353,"25","25F001","F","AD","","START","FSEEN","Y","","NGRP",""
2015-03-23,42086,"7A","","","","","","SOES","Y","","","ESG1501"
2015-03-17,42080,"11","DF190","F","AD","MULTI","","FPREG","Y","","","D1502"
2016-04-26,42486,"1B","BF674","F","AD","MULTI","","ABORT","Y","","UNK","B1602"
2015-05-12,42136,"2","TM429","M","PUP","DEP","START","BORN","Y","","","T1502"
2015-08-19,42235,"1H","H1503","","","","","LOST","N","","UNK","H1503"
2015-04-02,42096,"24","24M003","M","AD","","START","FSEEN","N","24/03/2015","",""
2015-12-16,42354,"1B","BP728","P","","","START","BORN","Y","","","B1505"
2015-10-05,42282,"1H","HF178","F","AD","MULTI","","BIRTH","Y","","","H1504"
2016-01-20,42389,"1B","BP731","P","PUP","DEP","END","ADIED","N","","APRED","B1505"
2016-03-30,42459,"24","24P013","P","PUP","DEP","START","BORN","N","","","241601"
2016-03-09,42438,"7A","GM137","M","AD","","STOP","EM","Y","","EVICTION","G1406"
2015-08-01,42217,"1B","","","","","","EOES","Y","","","ESB1503"
2014-05-13,41772,"4B","FF207","F","AD","PRIMIP","","FPREG","Y","","","F1403"
2014-08-13,41864,"4B","FF208","F","AD","MULTI","","FPREG","Y","","","F1404"
2014-05-12,41771,"1B","BF484","F","AD","MULTI","","BIRTH","Y","","","B1402"
2014-06-18,41808,"1H","HP283","P","PUP","DEP","START","BORN","Y","","","H1402"
2015-09-18,42265,"24","24P007","P","PUP","DEP","START","BORN","N","","","241502"
